16	47.9	637.4	102.674	264.683	99.838
15	493.254	239.147	110.485	256.836	99.87
12	1464.7	649.8	103.472	238.175	99.811
10	1840.3	638.2	104.067	231.12	101.915
9	2384.7	253.4	111.727	220.913	99.823
8	2455.1	696.2	103.537	219.201	99.93
7	2860.921	640.826	104.928	211.461	101.88
5	3362.3	391	110.008	201.782	99.874
4	3357.019	761.25	102.901	201.471	99.939
112	3055.5	741.4	103.228	207.464	102.42
113	2755.1	738.6	103.061	213.403	102.386
114	2683.686	660.03	104.431	214.89	102.352
122	1991.549	727.644	102.568	228.049	102.222
123	1697.891	728.844	102.318	233.829	102.252
161	1030.3	153	112.308	246.612	100.272
127	1620.75	600.25	104.588	235.314	102.311
14	803.315	646.428	103.043	250.674	99.869
803	3350.7	255.8	112.267	202.322	102.08
804	3241.5	115	114.593	204.427	103.872
806	2786.3	139.4	113.827	213.437	102.361
807	2694.3	186.2	112.97	215.105	102.35
808	2747.5	201	112.896	214.077	102.758
812	2055.75	108.25	113.685	227.373	102.252
813	2000.75	105.75	113.701	228.426	102.263
815	2747.5	916.2	99.834	213.382	102.431
816	3044.157	920.082	99.989	207.385	102.431
817	1983.948	903.278	99.367	228.098	102.429
818	1701.092	902.478	99.192	233.636	102.41
901	53.167	201.54	110.855	265.083	100.577
902	203.996	203.94	110.955	262.203	100.567
903	317.619	204.74	111.015	260.147	100.589
904	646.484	208.741	111.177	253.983	100.527
905	773.5	209.8	111.263	251.524	100.474
906	900.3	215.8	111.271	249.072	100.42
907	981.5	215	111.325	247.49	100.349
909	1114.3	782.2	100.86	244.703	101.539
910	904.535	857.269	99.326	248.573	101.861
911	600.875	822.462	99.611	254.508	100.815
912	484.852	826.063	99.587	256.523	100.812
913	488.453	733.245	101.359	256.468	101.035
914	599.274	737.245	101.283	254.495	101.033
915	1047.9	724.6	101.893	246.06	102.173
